,Rank,Team,Title,Jury,Audience,Total
0,1,Uncanny Valley,Beautiful the world,10,9.8,19.8
1,2,Dadabots x Portrait XO,I'll marry you punk come,12,7.4,19.4
2,3,Can AI Kick It?,Abbus,10,7.8,17.8
3,4,Algomus & Friends,I keep counting,8,7.5,15.5
4,5,COMPUTD / Shuman & Angel-Eye,I write a song,5,8.8,13.8
5,6,Brentry,Hope rose high,8,5.7,13.7
6,7,Polaris,Princess,4,8.1,12.1
7,8,Beatroots,Violent delights have violent ends,6,5.3,11.3
8,9,Datadada,Je secoue le monde,5,6.0,11
9,10,KTH/KMH + Doremir,Come To Ge Ther,4,6.9,10.9
10,11,OVGneUrovision,Traveller in time,5,4.6,9.6
11,12,Ligatur,Offshore in deep water,4,4.0,8
12,13,New Piano,Painful words,2,3.2,5.2