,Team,Team id,Country,Country code,Song title,Number of members
0,KTH/KMH+Doremir,kthkmhdoremir,Sweden,SE,Come To Ge Ther,3
1,Polaris,polaris,Belgium,BE,Princess,4
2,COMPUTD / Shuman&Angel-Eye,computd,The Netherlands,NL,I write a song,5
3,DataDada,datadata,France,FR,Je secoue le monde,5
4,Uncanny Valley,uncannyvalley,Australia,AU,Beautiful the world,7
5,Ligatur,ligatur,Germany,DE,Offshore in deep water,2
6,Brentry,brentry,Great Britain,GB,Hope rose high,2
7,Can AI kick it,canaikickit,The Netherlands,NL,Abbus,15
8,Beatroots,beatroots,Belgium,BE,Violent delights have violent endings,6
9,New Piano,newpiano,Switzerland,CH,Painful words,2
10,Algomus & Friends,algomus,France,FR,I keep counting,5
11,OVGneUrovision,ovgneurovision,Germany,DE,Traveller in time,1
12,Dadabots x Portrait XO,databots,Germany,DE,I'll marry you punk come,2